cfg;#tasks;%shared;#uncertainty;makespan;time (secs)
AIJFbTPlannerA;10;20;10;131.0;1.1916666666666667
AIJFbTPlannerA;10;20;20;131.0;1.1076666666666668
AIJFbTPlannerA;10;20;30;131.0;0.8193333333333334
AIJFbTPlannerA;10;40;10;105.0;1.5656666666666668
AIJFbTPlannerA;10;40;20;105.0;1.414
AIJFbTPlannerA;10;40;30;105.0;1.316
