configuration;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10
HFS;23;62;183;688;1281;2728;8129;18583;36723;62281;
TFS;23;113;801;9852;23247;63289;187631;180031;180032;180019;
DGFS;30;229;648;3452;10833;32510;113937;182675;186483;197790;
DFS;182049;181964;185636;180907;181897;185771;184635;183245;183659;183381;
RFS;28;391;4098;186565;192561;191262;184433;180403;181640;184154;
