configuration;1goal;2goals;3goals;4goals;5goals;6goals;7goals
HFS;532;646;893;1388;11561;70644;180759
TFS;387;268;606;30360;188254;180041;180534
DFS;182857;182233;182729;182005;181032;183521;180525
DGFS;192;159;439;3924;186749;184967;180646
RFS;90;110;500;186952;189179;189905;183703
