configuration;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10
HFS;47;94;418;1099;2660;5835;14233;35718;82209;190162;
TFS;45;233;4537;43314;182475;181575;180995;180013;180028;180017;
DGFS;42;170;1455;8590;29436;76290;182834;183848;181220;201428;
DFS;181224;183179;181626;180926;182807;181949;182462;184265;185090;183574;
RFS;66;423;185344;181245;184806;181391;188865;181711;188265;180699;
