version;#comm;#sun;#science;time;makespan;
discrete;1;1;1;240.0;11.0;
discrete;1;1;1;104.0;11.0;
discrete;1;1;1;50.0;11.0;
discrete;1;1;2;314.0;21.0;
discrete;1;1;2;301.0;21.0;
discrete;1;1;2;301.0;21.0;
