Horizon;Uncertainty;Windows;Instruments;Planning Goals;Planning Attempts;Planning Time (secs);Execution Attempts;Execution Time (secs);Exogenous Events;Contingency Handling Time (secs);Goal Status
100;10;1;1;1;1;0;1;100;0;0;FINISHED
100;10;1;1;2;1;0;1;100;0;0;FINISHED
100;10;1;1;3;1;0;1;100;0;0;FINISHED
100;10;1;1;4;1;0;1;101;0;0;FINISHED
100;10;1;1;5;1;0;1;101;0;0;FINISHED
100;10;1;2;1;2;47;2;72;1;46;FINISHED
100;10;1;2;2;1;0;1;102;0;0;FINISHED
100;10;1;2;3;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;1;2;4;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;1;2;5;1;0;1;102;0;0;FINISHED
100;10;1;3;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;1;3;2;1;60;0;0;0;0;ABORTED
100;10;1;3;3;1;60;0;0;0;0;ABORTED
100;10;1;3;4;1;60;0;0;0;0;ABORTED
100;10;1;3;5;1;60;0;0;0;0;ABORTED
100;10;2;1;1;1;0;1;101;0;0;FINISHED
100;10;2;1;2;1;0;1;101;0;0;FINISHED
100;10;2;1;3;1;0;1;101;0;0;FINISHED
100;10;2;1;4;1;0;1;101;0;0;FINISHED
100;10;2;1;5;1;0;1;101;0;0;FINISHED
100;10;2;2;1;1;0;1;101;0;0;FINISHED
100;10;2;2;2;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;2;2;3;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;2;2;4;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;2;2;5;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;2;3;1;1;0;1;101;0;0;FINISHED
100;10;2;3;2;1;60;0;0;0;0;ABORTED
100;10;2;3;3;1;60;0;0;0;0;ABORTED
100;10;2;3;4;1;60;0;0;0;0;ABORTED
100;10;2;3;5;1;60;0;0;0;0;ABORTED
100;10;3;1;1;1;0;1;101;0;0;FINISHED
100;10;3;1;2;1;0;1;101;0;0;FINISHED
100;10;3;1;3;1;0;1;101;0;0;FINISHED
100;10;3;1;4;1;0;1;101;0;0;FINISHED
100;10;3;1;5;1;0;1;101;0;0;FINISHED
100;10;3;2;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;10;3;2;2;1;60;0;0;0;0;ABORTED
100;10;3;2;3;1;60;0;0;0;0;ABORTED
100;10;3;2;4;1;60;0;0;0;0;ABORTED
100;10;3;2;5;1;60;0;0;0;0;ABORTED
100;10;3;3;1;1;0;1;101;0;0;FINISHED
100;10;3;3;2;1;60;0;0;0;0;ABORTED
100;10;3;3;3;1;60;0;0;0;0;ABORTED
100;10;3;3;4;1;60;0;0;0;0;ABORTED
100;10;3;3;5;1;60;0;0;0;0;ABORTED
100;20;1;1;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;1;1;2;1;0;1;101;0;0;FINISHED
100;20;1;1;3;1;0;1;101;0;0;FINISHED
100;20;1;1;4;1;0;1;101;0;0;FINISHED
100;20;1;1;5;1;0;1;101;0;0;FINISHED
100;20;1;2;1;1;0;1;101;0;0;FINISHED
100;20;1;2;2;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;1;2;3;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;1;2;4;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;1;2;5;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;1;3;1;1;0;1;101;0;0;FINISHED
100;20;1;3;2;1;60;0;0;0;0;ABORTED
100;20;1;3;3;1;60;0;0;0;0;ABORTED
100;20;1;3;4;1;60;0;0;0;0;ABORTED
100;20;1;3;5;1;60;0;0;0;0;ABORTED
100;20;2;1;1;1;0;1;101;0;0;FINISHED
100;20;2;1;2;1;0;1;101;0;0;FINISHED
100;20;2;1;3;1;0;1;101;0;0;FINISHED
100;20;2;1;4;1;0;1;101;0;0;FINISHED
100;20;2;1;5;1;0;1;101;0;0;FINISHED
100;20;2;2;1;1;0;1;101;0;0;FINISHED
100;20;2;2;2;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;2;2;3;1;0;1;102;0;0;FINISHED
100;20;2;2;4;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;2;2;5;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;2;3;1;1;0;1;101;0;0;FINISHED
100;20;2;3;2;1;60;0;0;0;0;ABORTED
100;20;2;3;3;1;60;0;0;0;0;ABORTED
100;20;2;3;4;1;60;0;0;0;0;ABORTED
100;20;2;3;5;1;60;0;0;0;0;ABORTED
100;20;3;1;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;3;1;2;1;0;1;101;0;0;FINISHED
100;20;3;1;3;1;0;1;101;0;0;FINISHED
100;20;3;1;4;1;0;1;101;0;0;FINISHED
100;20;3;1;5;1;0;1;101;0;0;FINISHED
100;20;3;2;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;3;2;2;1;60;0;0;0;0;ABORTED
100;20;3;2;3;1;60;0;0;0;0;ABORTED
100;20;3;2;4;1;60;0;0;0;0;ABORTED
100;20;3;2;5;1;60;0;0;0;0;ABORTED
100;20;3;3;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;3;3;2;1;60;0;0;0;0;ABORTED
100;20;3;3;3;1;60;0;0;0;0;ABORTED
100;20;3;3;4;1;60;0;0;0;0;ABORTED
