Horizon;Uncertainty;Windows;Instruments;Planning Goals;Planning Attempts;Planning Time (secs);Execution Attempts;Execution Time (secs);Exogenous Events;Contingency Handling Time (secs);Goal Status
200;10;1;1;1;1;0;1;201;0;0;FINISHED
200;10;1;1;2;1;0;1;201;0;0;FINISHED
200;10;1;1;3;1;0;1;202;0;0;FINISHED
200;10;1;1;4;1;0;1;202;0;0;FINISHED
200;10;1;1;5;1;0;1;202;0;0;FINISHED
200;10;1;2;1;1;0;1;203;0;0;FINISHED
200;10;1;2;2;1;0;1;204;0;0;FINISHED
200;10;1;2;3;1;0;1;204;0;0;FINISHED
200;10;1;2;4;1;0;1;204;0;0;FINISHED
200;10;1;2;5;2;61;1;85;1;60;ABORTED
200;10;1;3;1;1;0;1;202;0;0;FINISHED
200;10;1;3;2;2;67;1;76;1;61;ABORTED
200;10;1;3;3;1;6;1;218;0;0;FINISHED
200;10;1;3;4;1;5;1;218;0;0;FINISHED
200;10;1;3;5;1;5;1;218;0;0;FINISHED
200;10;2;1;1;2;0;2;142;1;0;FINISHED
200;10;2;1;2;1;0;1;201;0;0;FINISHED
200;10;2;1;3;1;0;1;201;0;0;FINISHED
200;10;2;1;4;1;0;1;201;0;0;FINISHED
200;10;2;1;5;1;0;1;201;0;0;FINISHED
200;10;2;2;1;1;0;1;201;0;0;FINISHED
200;10;2;2;2;2;61;1;84;1;60;ABORTED
200;10;2;2;3;2;61;1;64;1;60;ABORTED
200;10;2;2;4;2;61;1;77;1;60;ABORTED
200;10;2;2;5;2;61;1;67;1;60;ABORTED
200;10;2;3;1;2;60;1;65;1;60;ABORTED
200;10;2;3;2;2;70;1;96;1;62;ABORTED
200;10;2;3;3;2;70;1;80;1;61;ABORTED
200;10;2;3;4;2;68;1;103;1;60;ABORTED
200;10;2;3;5;2;68;1;94;1;61;ABORTED
200;10;3;1;1;1;0;1;203;0;0;FINISHED
200;10;3;1;2;1;0;1;203;0;0;FINISHED
200;10;3;1;3;1;0;1;202;0;0;FINISHED
200;10;3;1;4;1;0;1;202;0;0;FINISHED
200;10;3;1;5;1;0;1;201;0;0;FINISHED
200;10;3;2;1;1;0;1;203;0;0;FINISHED
200;10;3;2;2;1;1;1;205;0;0;FINISHED
200;10;3;2;3;2;61;1;81;1;60;ABORTED
200;10;3;2;4;2;61;1;65;1;60;ABORTED
200;10;3;2;5;2;61;1;67;1;60;ABORTED
200;10;3;3;1;1;0;1;203;0;0;FINISHED
200;10;3;3;2;2;74;1;81;1;65;ABORTED
200;10;3;3;3;2;70;1;91;1;61;ABORTED
200;10;3;3;4;2;74;1;112;1;65;ABORTED
200;10;3;3;5;2;72;1;87;1;63;ABORTED
200;20;1;1;1;2;0;2;143;1;0;FINISHED
