H;U;W;I;G;time (msecs)
200;10;2;3;4;no-pseudo-plan
200;10;2;3;5;no-pseudo-plan
200;10;3;1;1;144
200;10;3;1;2;575
200;10;3;1;3;1772
200;10;3;1;4;no-pseudo-plan
200;10;3;1;5;no-pseudo-plan
200;10;3;2;1;317
200;10;3;2;2;1540
200;10;3;2;3;5189
200;10;3;2;4;no-pseudo-plan
200;10;3;2;5;no-pseudo-plan
200;10;3;3;1;488
200;10;3;3;2;2976
200;10;3;3;3;9436
200;10;3;3;4;no-pseudo-plan
200;10;3;3;5;no-pseudo-plan
200;20;1;1;1;53
200;20;1;1;2;293
200;20;1;1;3;847
200;20;1;1;4;2066
200;20;1;1;5;4645
200;20;1;2;1;124
200;20;1;2;2;776
200;20;1;2;3;2765
200;20;1;2;4;8162
200;20;1;2;5;no-pseudo-plan
200;20;1;3;1;238
200;20;1;3;2;1533
200;20;1;3;3;6750
200;20;1;3;4;no-pseudo-plan
200;20;1;3;5;no-pseudo-plan
200;20;2;1;1;90
200;20;2;1;2;455
200;20;2;1;3;1240
200;20;2;1;4;no-pseudo-plan
200;20;2;1;5;no-pseudo-plan
200;20;2;2;1;204
200;20;2;2;2;1034
200;20;2;2;3;4143
200;20;2;2;4;no-pseudo-plan
200;20;2;2;5;no-pseudo-plan
200;20;2;3;1;322
200;20;2;3;2;2103
200;20;2;3;3;8268
200;20;2;3;4;no-pseudo-plan
200;20;2;3;5;no-pseudo-plan
200;20;3;1;1;142
200;20;3;1;2;579
200;20;3;1;3;1844
200;20;3;1;4;no-pseudo-plan
200;20;3;1;5;no-pseudo-plan
200;20;3;2;1;309
200;20;3;2;2;1452
200;20;3;2;3;5160
200;20;3;2;4;no-pseudo-plan
200;20;3;2;5;no-pseudo-plan
200;20;3;3;1;489
200;20;3;3;2;2907
200;20;3;3;3;9382
200;20;3;3;4;no-pseudo-plan
200;20;3;3;5;no-pseudo-plan
200;30;1;1;1;49
200;30;1;1;2;246
200;30;1;1;3;795
200;30;1;1;4;2092
200;30;1;1;5;4771
200;30;1;2;1;154
200;30;1;2;2;861
200;30;1;2;3;2685
200;30;1;2;4;8184
200;30;1;2;5;no-pseudo-plan
200;30;1;3;1;223
