H;U;W;I;G;time (msecs)
300;10;1;1;1;186
300;10;1;1;2;406
300;10;1;1;3;670
300;10;1;1;4;1482
300;10;1;1;5;3094
300;10;1;2;1;96
300;10;1;2;2;559
300;10;1;2;3;1822
300;10;1;2;4;5177
300;10;1;2;5;13050
300;10;1;3;1;156
300;10;1;3;2;1047
300;10;1;3;3;4265
300;10;1;3;4;11618
300;10;1;3;5;28334
300;10;2;1;1;62
300;10;2;1;2;291
300;10;2;1;3;793
300;10;2;1;4;1920
300;10;2;1;5;4066
300;10;2;2;1;153
300;10;2;2;2;745
300;10;2;2;3;2685
300;10;2;2;4;6908
300;10;2;2;5;14965
300;10;2;3;1;239
300;10;2;3;2;1427
300;10;2;3;3;5212
300;10;2;3;4;13973
300;10;2;3;5;33988
300;10;3;1;1;105
300;10;3;1;2;401
300;10;3;1;3;1165
300;10;3;1;4;2662
300;10;3;1;5;no-pseudo-plan
300;10;3;2;1;215
300;10;3;2;2;1005
300;10;3;2;3;3347
300;10;3;2;4;7983
300;10;3;2;5;no-pseudo-plan
300;10;3;3;1;346
300;10;3;3;2;1851
300;10;3;3;3;5866
300;10;3;3;4;17103
300;10;3;3;5;no-pseudo-plan
300;20;1;1;1;35
300;20;1;1;2;183
300;20;1;1;3;555
300;20;1;1;4;1398
300;20;1;1;5;3019
300;20;1;2;1;91
300;20;1;2;2;559
300;20;1;2;3;1819
300;20;1;2;4;5115
300;20;1;2;5;12992
300;20;1;3;1;157
300;20;1;3;2;1036
300;20;1;3;3;4227
300;20;1;3;4;11639
300;20;1;3;5;28174
300;20;2;1;1;58
300;20;2;1;2;287
300;20;2;1;3;777
300;20;2;1;4;1886
300;20;2;1;5;4065
300;20;2;2;1;159
300;20;2;2;2;747
300;20;2;2;3;2663
300;20;2;2;4;6846
300;20;2;2;5;15123
300;20;2;3;1;236
300;20;2;3;2;1411
300;20;2;3;3;5199
300;20;2;3;4;14007
300;20;2;3;5;34004
300;20;3;1;1;101
300;20;3;1;2;404
300;20;3;1;3;1128
300;20;3;1;4;2542
300;20;3;1;5;no-pseudo-plan
300;20;3;2;1;212
300;20;3;2;2;992
300;20;3;2;3;3312
300;20;3;2;4;7865
300;20;3;2;5;no-pseudo-plan
300;20;3;3;1;353
300;20;3;3;2;1847
300;20;3;3;3;5860
300;20;3;3;4;17113
300;20;3;3;5;no-pseudo-plan
300;30;1;1;1;34
300;30;1;1;2;178
300;30;1;1;3;548
300;30;1;1;4;1398
300;30;1;1;5;3037
300;30;1;2;1;90
300;30;1;2;2;546
300;30;1;2;3;1925
300;30;1;2;4;5357
300;30;1;2;5;13596
300;30;1;3;1;174
300;30;1;3;2;1092
300;30;1;3;3;4330
300;30;1;3;4;12240
300;30;1;3;5;29773
300;30;2;1;1;60
300;30;2;1;2;283
300;30;2;1;3;772
300;30;2;1;4;1972
300;30;2;1;5;4208
300;30;2;2;1;177
300;30;2;2;2;788
300;30;2;2;3;2805
300;30;2;2;4;7229
300;30;2;2;5;15988
300;30;2;3;1;233
300;30;2;3;2;1340
300;30;2;3;3;5429
300;30;2;3;4;14768
300;30;2;3;5;36112
300;30;3;1;1;123
300;30;3;1;2;444
300;30;3;1;3;1191
300;30;3;1;4;2627
300;30;3;1;5;no-pseudo-plan
300;30;3;2;1;220
300;30;3;2;2;1064
300;30;3;2;3;3425
300;30;3;2;4;8196
300;30;3;2;5;no-pseudo-plan
300;30;3;3;1;339
300;30;3;3;2;1943
300;30;3;3;3;6112
300;30;3;3;4;17836
300;30;3;3;5;no-pseudo-plan
